Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density,Beta_Glucosidase_ug_pNP_per_g_per_h,flag_Beta_Glucosidase,GWC_percent,flag_GWC,HClExtOM_TOC_mg_per_kg,flag_HClExtOM_TOC,HClExtOM_TN_mg_per_kg,flag_HClExtOM_TN,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,flag_Ca,flag_Mg,flag_Na,flag_K,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,MBC_mg_per_kg,flag_MBC,MBN_mg_per_kg,flag_MBN,NO3_N_mg_per_kg,flag_NO3N,NH4_N_mg_per_kg,flag_NH4N,PO4_P_mg_per_kg,flag_P,pH,flag_pH,Sand_percent,Silt_percent,Clay_percent,flag_Texture,WEOM_TOC_mg_per_kg,flag_WEOM_TOC,WEOM_TN_mg_per_kg,flag_WEOM_TN
61049,25,TOP,61049_25_TOP,0.85,,14.5,,22.95,,342.7,,25.76,,11.1,7.88,0.21,0.59,3,0.64,0.17,10.9,0.7,10,,,,,,,,,,,51.35,,11.1,,,In_queue,,In_queue,,In_queue,7.54,,8.4,50.8,40.8,,12.15,,1.62,
61049,25,BTM,61049_25_BTM,2.24,,165.8,,31.4,,531.37,,35.49,,13.3,6.78,0.12,1.37,4,0.91,2.38,7.5,0.7,23,,,,,,,,,,,200.28,,40.56,,,In_queue,,In_queue,,In_queue,7.38,,13.2,56.4,30.5,,33.61,,8.58,
61049,26,TOP,61049_26_TOP,1.76,,108,,22.09,,693.01,,52.64,,17.3,4.27,0.08,0.7,3,0.78,0.6,5,0.3,2,,,,,,,,,,,207.24,,30.64,,,In_queue,,In_queue,,In_queue,8.3,,9.3,60.3,30.4,,25.01,,5.43,
61049,26,BTM,61049_26_BTM,1.46,,28.8,,18.06,,573.51,,34,,27.2,3.89,0.13,0.25,6,0.48,0.18,2.2,0.2,1,,,,,,,,,,,121.59,,15.38,,,In_queue,,In_queue,,In_queue,8.51,,11.2,58.4,30.5,,15.09,,2.19,
61049,27,TOP,61049_27_TOP,1.83,,81.1,,18.76,,,In_queue,,In_queue,29,3.64,0.16,0.41,3,0.91,0.31,1,0.3,6,,,,,,,,,,,215.45,,30.02,,,In_queue,,In_queue,,In_queue,8.34,,11,55.2,33.9,,13.25,,1.48,
61049,27,BTM,61049_27_BTM,1.5,,,Insufficient_material,18.44,,647.93,,25.59,,,,,,,,,,,,,,,,,,,,,,79.43,,9.95,,,In_queue,,In_queue,,In_queue,8.5,,,,,Insufficient_material,9.98,,0.75,
61049,28,TOP,61049_28_TOP,1.74,,125.5,,25.13,,911.43,,62.52,,14.5,5.12,0.12,0.61,3,0.67,0.76,3.7,0.3,2,,,,,,,,,,,165.05,,21.52,,,In_queue,,In_queue,,In_queue,7.93,,11.1,55.1,33.9,,20.56,,5.52,
61049,28,BTM,61049_28_BTM,1.54,,,Insufficient_material,13.43,,702.56,,38.34,,,,,,,,,,,,,,,,,,,,,,117.32,,13.75,,,In_queue,,In_queue,,In_queue,8.45,,,,,Insufficient_material,16.72,,2.3,
61049,29,TOP,61049_29_TOP,1.76,,132.4,,22.39,,868.78,,56.33,,17,5.13,0.15,0.67,3,0.89,0.71,4.2,0.3,2,,,,,,,,,,,226.42,,31.02,,,In_queue,,In_queue,,In_queue,8.1,,13.3,48.9,37.9,,28.96,,7.5,
61049,29,BTM,61049_29_BTM,1.69,,,Insufficient_material,16.96,,522.51,,30.58,,,,,,,,,,,,,,,,,,,,,,157.05,,20.01,,,In_queue,,In_queue,,In_queue,8.39,,,,,Insufficient_material,16.5,,3.21,
