"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","Bulk_density_g_per_cm3","GWC_percent","Ca_meq_per_100g","Mg_meq_per_100g","Na_meq_per_100g","K_meq_per_100g","SO4_S_mg_per_kg","B_mg_per_kg","Zn_mg_per_kg","Mn_mg_per_kg","Cu_mg_per_kg","Fe_mg_per_kg","MBC_mg_per_kg","MBN_mg_per_kg","NO3_N_mg_per_kg","NH4_N_mg_per_kg","PO4_P_mg_per_kg","pH","WEOM_TOC_mg_per_kg","WEOM_TN_mg_per_kg","flag_Bulk_density","flag_GWC","flag_B","flag_Ca","flag_Cu","flag_Fe","flag_K","flag_Mg","flag_Mn","flag_Na","flag_SO4S","flag_Zn","flag_MBC","flag_MBN","flag_NO3N","flag_NH4N","flag_P","flag_pH","flag_WEOM_TOC","flag_WEOM_TN"
"61558","4","TOP","61558_4_TOP","1.11","49.77","16.1","4.08","0.1","1.76","26","0.65","2.6","32","0.5","85",,,"14","35.97","7.31","6.46","137.99","11.98",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61558","4","BTM","61558_4_BTM","1.15","20.28","10.3","3.02","0.09","0.54","12","0.45","0.25","47","0.5","110",,,"0.19","3.19","2.79","6.38","63.87","2.88",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61558","5","TOP","61558_5_TOP","0.81","55.56","16.4","3.53","0.09","1.25","20","0.55","3.9","30","1","70",,,"0.31","15.06","17.87","5.96","73.83","6.06",,,,,,,,,,,,,"Data_Not_Available","Data_Not_Available",,,,,,
"61558","5","BTM","61558_5_BTM","0.91","24.7","10.5","3.09","0.12","0.36","25","0.4","0.45","97","1","90",,,"0.26","5.94","5.24","5.49","77.7","4.25",,,,,,,,,,,,,"Data_Not_Available","Data_Not_Available",,,,,,
"61558","6","TOP","61558_6_TOP","0.52","87.07",,,,,,,,,,,,,,,"9.11","5.89","774.96","37.28",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Data_Not_Available","Data_Not_Available","In_Queue","In_Queue",,,,
"61558","6","BTM","61558_6_BTM","1.38","25.97","13.1","2.41","0.16","0.2","14","0.4","0.35","13.5","0.5","120",,,"0.15","2.79","2.18","6.03","45.34","2.42",,,,,,,,,,,,,"Data_Not_Available","Data_Not_Available",,,,,,
"61558","7","TOP","61558_7_TOP","0.59","16.72","17.4","4.29","0.09","1.95","34","0.55","6.3","38","0.5","85",,,"0.31","13.5","17.42","6.1","200.56","17.91",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61558","7","BTM","61558_7_BTM","1.32","8.66","8","2.78","0.09","0.83","10","0.35","0.2","28.5","0.5","80",,,"0.1","2.66","2.55","5.66","30.32","2.25",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61558","8","TOP","61558_8_TOP","0.55","20.13","21.2","3.13","0.12","0.88","47","0.45","6.9","81","1","210",,,"0.3","9.97","27.63","5.69","554.37","28.79",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61558","8","BTM","61558_8_BTM","1.34","11.08","18.1","2.54","0.09","0.15","8","0.4","0.4","6.5","0.5","70",,,"0.21","1.18","2.89","6.18","41.51","2.16",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61608","1","TOP","61608_1_TOP","0.41","82.2",,,,,,,,,,,,,,,"20.82","4.12","325.04","11.77",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","1","BTM","61608_1_BTM","1.4","38.2",,,,,,,,,,,,,,,"6.43","4.89","10.75","1.4",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","2","TOP","61608_2_TOP","0.95","47.44",,,,,,,,,,,,,,,"21.78","5.48","52.03","3.92",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","2","BTM","61608_2_BTM","1.71","21.92",,,,,,,,,,,,,,,"19.49","5.37","96.69","2.39",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","3","TOP","61608_3_TOP","0.49","226.01","1.4","0.86","0.11","0.24","35","0.35","3.35","8","0.5","145",,,"48.9","130.35","9.17","4.39","112.7","6.8",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61608","3","BTM","61608_3_BTM","1.66","20.88","0.9","0.3","0.05","0.06","19","0.35","0.3","3","0.5","20",,,"0.1","0.98","8.71","5.21","5.51","0.17",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61608","4","TOP","61608_4_TOP","0.32","94.59",,,,,,,,,,,,,,,"5.5","3.85","668.62","24.41",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","4","BTM","61608_4_BTM","0.39","27.73",,,,,,,,,,,,,,,"2.73","4.72","36.56","1.42",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","5","TOP","61608_5_TOP","0.57","69.22","2.9","0.87","0.1","0.54","63","0.55","10.65","107","1.5","265",,,"2.2","29.61","131.21","5","138.6","7.2",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61608","5","BTM","61608_5_BTM","1.64","30.6",,,,,,,,,,,,,,,"61.2","5.04","6.64","0.77",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","6","TOP","61608_6_TOP","0.75","73.11","5","0.85","1.25","0.84","23","0.45","2.7","13.5","1.5","90",,,"26.12","13.47","31.77","6.12","34.06","6.04",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61608","6","BTM","61608_6_BTM","0.66","70.23",,,,,,,,,,,,,,,"19.61","6.48","29.61","2.72",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","7","TOP","61608_7_TOP","0.32","218.05",,,,,,,,,,,,,,,"10.56","3.47","288.16","12.53",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","7","BTM","61608_7_BTM","0.75","37.65",,,,,,,,,,,,,,,"3.84","3.48","58.41","1.76",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","8","TOP","61608_8_TOP","0.76","45.53","1.4","0.42","0.1","0.2","22","0.4","2","15","0.5","255",,,"1.05","8.18","117.41","4.67","45.92","2.44",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61608","8","BTM","61608_8_BTM","1.38","21.44",,,,,,,,,,,,,,,"5.85","4.81","40.01","0.85",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61608","9","TOP","61608_9_TOP","0.95","28.81","2.1","0.61","0.11","0.22","18","0.4","4.55","11","2","105",,,"1.16","8.13",,"5.05","44.78","3.01",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,"Data_Not_Available",,,
"61608","9","BTM","61608_9_BTM","1.19","11.55",,,,,,,,,,,,,,,,"5.45","33.61","1.19",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue","Data_Not_Available",,,
"61609","1","TOP","61609_1_TOP","1.66","1.58","22.6","1.27","0.09","0.72","35","0.75","0.25","3","0.5","5",,,"1.46","1.09","4.71","7.77","36.77","4.48",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61609","1","BTM","61609_1_BTM","1.86","1.82","22.9","1.3","0.08","0.74","45","0.8","0.4","3.5","1","5",,,"2.51","1.67","6.72","8.03","40.62","5.43",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61609","2","TOP","61609_2_TOP","1.92","1.02",,,,,,,,,,,,,,,"2.38","8.18","22.73","3.16",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61609","2","BTM","61609_2_BTM","1.34","2.51",,,,,,,,,,,,,,,"0.68","8.29","11.49","2.45",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61609","3","TOP","61609_3_TOP","2.32","0.98","4.2","1.11","0.05","0.39","14","0.45","0.35","3","0.5","5",,,"6.57","2.24","7.84","7.82","22.74","7.85",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61609","3","BTM","61609_3_BTM","1.62","2.42","7","1.43","0.08","0.26","23","0.45","0.15","2.5","0.5","5",,,"1.31","1.16","1.83","8.23","8.9","1.4",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","1","TOP","61610_1_TOP","1.32","70.74","3.8","0.81","0.13","0.18","55","0.45","12.3","9","1","585",,,"14.34","12.07","64.07","5.16","27.15","3.62",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","1","BTM","61610_1_BTM","0.89","54.45","5","1.14","0.17","0.25","34","0.4","1.75","5.5","0.5","535",,,"0.36","55.61","27.88","5.2","34.14","8.04",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","2","TOP","61610_2_TOP","0.36","439.84","5","2.84","0.51","0.35","480","0.55","10.7","27","1","570",,,"15.69","80.22","223.18","5.77","144.08","10.92",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","2","BTM","61610_2_BTM","0.23","495.41",,,,,,,,,,,,,,,"149.95","6.13","248.89","14.62",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61610","3","TOP","61610_3_TOP","0.33","485.26","9.9","3.83","0.48","0.43","1315","0.55","17.15","12","1","1145",,,"47.64","2.53","261.58","5.95","161.73","9.11",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","3","BTM","61610_3_BTM","0.19","665.74",,,,,,,,,,,,,,,"210.77","6.1","371.33","17.38",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61610","4","TOP","61610_4_TOP","0.37","461.75","8.8","5.53","0.67","0.65","753","0.55","13.5","7.5","1","920",,,"98.67","77.37","161.72","5.87","195.4","20.95",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","4","BTM","61610_4_BTM","0.53","540",,,,,,,,,,,,,,,"176.15","5.82","99.52","5.13",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61610","5","TOP","61610_5_TOP","0.5","435.54","10.3","7.42","1.27","0.65","1803","0.6","16.4","21.5","1.5","1005",,,"3.5","71.32","185.26","5.88","245.94","12.94",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","5","BTM","61610_5_BTM","0.37","376.69",,,,,,,,,,,,,,,"300.5","5.99","244.96","11.48",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61610","6","TOP","61610_6_TOP","0.38","596.3","8.5","7.94","2.5","0.47","1358","1","8.35","13","1","685",,,"0.62","101.87","58.97","5.95","784.46","36.53",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","6","BTM","61610_6_BTM","0.22","607.88",,,,,,,,,,,,,,,"37.82","6.43","515.92","25.91",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61610","7","TOP","61610_7_TOP","0.47","324.36","5.9","6.42","3.46","0.8","1405","1.05","12","39","1.5","1270",,,"12.16","27.36","143.34","5.28","262.23","11.45",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","7","BTM","61610_7_BTM","0.4","346.77",,,,,,,,,,,,,,,"129.06","6.53","447.73","14.53",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61610","8","TOP","61610_8_TOP","0.43","219.36","7.4","12.23","20.01","1.82","2568","4.65","7.45","50","1.5","1675",,,"1.02","57.88","46.09","6.28","87.63","6.84",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","8","BTM","61610_8_BTM","0.29","229.04",,,,,,,,,,,,,,,"81.59","6.74","145.69","14.43",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61610","9","TOP","61610_9_TOP","0.36","283.47","6.5","13.06","18.81","0.22","8850","1.25","18.35","75","2.5","1675",,,"0.1","96.98","108.13","6.85","168.44","20.73",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61610","9","BTM","61610_9_BTM",,,,,,,,,,,,,,,,,,,,,"Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material","Insufficient_Material"
"61611","1","TOP","61611_1_TOP","0.9","83.23",,,,,,,,,,,,,,,"10.8","5.9","47.9","3.58",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61611","1","BTM","61611_1_BTM","0.68","82","14.5","5.7","0.81","0.35","6","0.4","3.95","66","13","670",,,"0.15","5.23","5.74","5.31","41.34","1.73",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","2","TOP","61611_2_TOP","0.8","81.36","13.4","5.3","0.23","0.54","6","0.3","6.5","74","8.6","698",,,"5.93","10.19","10.3","5.32","29.4","6.95",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","2","BTM","61611_2_BTM","0.64","78.85","12.7","4.8","0.49","0.36","6","0.3","4.75","84.3","10.5","616",,,"2.75","5.38","7.22","5.19","15.23","2.13",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
