"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","Bulk_Density","flag_Bulk_density"
"61630","6","TOP","61630_6_TOP",2.27,
"61630","6","BTM","61630_6_BTM",1.81,
"61630","7","TOP","61630_7_TOP",2.23,
"61630","7","BTM","61630_7_BTM",1.59,
"61630","8","TOP","61630_8_TOP",2.35,
"61630","8","BTM","61630_8_BTM",1.33,
"61630","9","TOP","61630_9_TOP",1.91,
"61630","9","BTM","61630_9_BTM",1.34,
"61799","1","TOP","61799_1_TOP",0.77,
"61799","1","BTM","61799_1_BTM",1.22,
"61799","2","TOP","61799_2_TOP",0.74,
"61799","2","BTM","61799_2_BTM",1.2,
"61799","3","TOP","61799_3_TOP",0.86,
"61799","3","BTM","61799_3_BTM",1.22,
"61799","4","TOP","61799_4_TOP",0.92,
"61799","4","BTM","61799_4_BTM",1.16,
"61799","5","TOP","61799_5_TOP",0.66,
"61799","5","BTM","61799_5_BTM",1.03,
"61799","6","TOP","61799_6_TOP",0.63,
"61799","6","BTM","61799_6_BTM",0.94,
"61799","7","TOP","61799_7_TOP",0.68,
"61799","7","BTM","61799_7_BTM",1.11,
"61799","8","TOP","61799_8_TOP",0.48,
"61799","8","BTM","61799_8_BTM",1.24,
"61799","9","TOP","61799_9_TOP",0.45,
"61799","9","BTM","61799_9_BTM",0.67,
"61801","1","TOP","61801_1_TOP",,
"61801","1","BTM","61801_1_BTM",,
"61804","1","TOP","61804_1_TOP",1.8,
"61804","1","BTM","61804_1_BTM",1.28,
"61804","2","TOP","61804_2_TOP",1.73,
"61804","2","BTM","61804_2_BTM",1.4,
"61804","3","TOP","61804_3_TOP",1.67,
"61804","3","BTM","61804_3_BTM",1.22,
"61804","4","TOP","61804_4_TOP",1.73,
"61804","4","BTM","61804_4_BTM",1.27,
"61804","5","TOP","61804_5_TOP",1.42,
"61804","5","BTM","61804_5_BTM",1.34,
"61804","6","TOP","61804_6_TOP",1.67,
"61804","6","BTM","61804_6_BTM",1.48,
"61804","7","TOP","61804_7_TOP",1.98,
