"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","pH","flag_pH"
"60846","12","TOP","60846_12_TOP",5.05,
"60846","12","BTM","60846_12_BTM",4.97,
"60846","17","TOP","60846_17_TOP",4.63,
"60846","17","BTM","60846_17_BTM",4.59,
"60846","2","TOP","60846_2_TOP",4.93,
"60846","2","BTM","60846_2_BTM",4.9,
"60846","5","TOP","60846_5_TOP",4.79,
"60846","5","BTM","60846_5_BTM",4.81,
"60846","7","TOP","60846_7_TOP",4.26,
"60846","7","BTM","60846_7_BTM",4.52,
"60880","1","TOP","60880_1_TOP",5.41,
"60880","1","BTM","60880_1_BTM",5.38,
"60880","2","TOP","60880_2_TOP",6.61,
"60880","2","BTM","60880_2_BTM",7.8,
"60880","3","TOP","60880_3_TOP",5.39,
"60880","3","BTM","60880_3_BTM",5.49,
"60880","4","TOP","60880_4_TOP",6.28,
"60880","4","BTM","60880_4_BTM",5.06,
"60880","5","TOP","60880_5_TOP",7.93,
"60880","5","BTM","60880_5_BTM",8.16,
"60880","6","TOP","60880_6_TOP",7.68,
"60880","6","BTM","60880_6_BTM",5.56,
"60881","1","TOP","60881_1_TOP",6.42,
"60881","1","BTM","60881_1_BTM",7.52,
"60881","2","TOP","60881_2_TOP",6.43,
"60881","2","BTM","60881_2_BTM",6.85,
"60881","3","TOP","60881_3_TOP",6.58,
"60881","3","BTM","60881_3_BTM",7.26,
"60881","4","TOP","60881_4_TOP",6.47,
"60881","4","BTM","60881_4_BTM",7.11,
"60881","5","TOP","60881_5_TOP",6.7,
"60881","5","BTM","60881_5_BTM",7.25,
"60881","6","TOP","60881_6_TOP",6.47,
"60881","6","BTM","60881_6_BTM",7.14,
"60886","1","TOP","60886_1_TOP",6.06,
"60886","1","BTM","60886_1_BTM",6.88,
"60886","2","TOP","60886_2_TOP",6.55,
"60886","2","BTM","60886_2_BTM",6.87,
"60886","3","TOP","60886_3_TOP",6.56,
"60886","3","BTM","60886_3_BTM",6.77,
"60886","4","TOP","60886_4_TOP",6.46,
"60886","4","BTM","60886_4_BTM",6.86,
"60886","5","TOP","60886_5_TOP",6.42,
"60886","5","BTM","60886_5_BTM",7.04,
"60886","6","TOP","60886_6_TOP",5.74,
"60886","6","BTM","60886_6_BTM",5.99,
"60920","1","TOP","60920_1_TOP",4.89,
"60920","1","BTM","60920_1_BTM",5.81,
"60920","10","TOP","60920_10_TOP",6.31,
"60920","10","BTM","60920_10_BTM",,"Insufficient_material"
"60920","11","TOP","60920_11_TOP",5.03,
"60920","11","BTM","60920_11_BTM",,"Insufficient_material"
"60920","12","TOP","60920_12_TOP",,"Insufficient_material"
"60920","12","BTM","60920_12_BTM",,"Insufficient_material"
"60920","2","TOP","60920_2_TOP",4.9,
"60920","2","BTM","60920_2_BTM",5.26,
"60920","3","TOP","60920_3_TOP",4.81,
"60920","3","BTM","60920_3_BTM",5.2,
