"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","pH","flag_pH"
"61630","5","BTM","61630_5_BTM",6.81,
"61630","6","TOP","61630_6_TOP",5.63,
"61630","6","BTM","61630_6_BTM",6.18,
"61630","7","TOP","61630_7_TOP",5.76,
"61630","7","BTM","61630_7_BTM",6.72,
"61630","8","TOP","61630_8_TOP",6.19,
"61630","8","BTM","61630_8_BTM",6.55,
"61630","9","TOP","61630_9_TOP",6.66,
"61630","9","BTM","61630_9_BTM",6.72,
"61799","1","TOP","61799_1_TOP",3.86,
"61799","1","BTM","61799_1_BTM",4.51,
"61799","2","TOP","61799_2_TOP",3.72,
"61799","2","BTM","61799_2_BTM",4.81,
"61799","3","TOP","61799_3_TOP",3.89,
"61799","3","BTM","61799_3_BTM",4.99,
"61799","4","TOP","61799_4_TOP",4.2,
"61799","4","BTM","61799_4_BTM",4.62,
"61799","5","TOP","61799_5_TOP",3.49,
"61799","5","BTM","61799_5_BTM",4.79,
"61799","6","TOP","61799_6_TOP",3.51,
"61799","6","BTM","61799_6_BTM",4.68,
"61799","7","TOP","61799_7_TOP",4.17,
"61799","7","BTM","61799_7_BTM",4.84,
"61799","8","TOP","61799_8_TOP",3.59,
"61799","8","BTM","61799_8_BTM",4.67,
"61799","9","TOP","61799_9_TOP",3.93,
"61799","9","BTM","61799_9_BTM",4.73,
"61801","1","TOP","61801_1_TOP",,
"61801","1","BTM","61801_1_BTM",,
"61804","1","TOP","61804_1_TOP",6.97,
"61804","1","BTM","61804_1_BTM",6.84,
"61804","2","TOP","61804_2_TOP",6.94,
"61804","2","BTM","61804_2_BTM",6.7,
"61804","3","TOP","61804_3_TOP",6.83,
"61804","3","BTM","61804_3_BTM",6.24,
"61804","4","TOP","61804_4_TOP",6.63,
"61804","4","BTM","61804_4_BTM",7.11,
"61804","5","TOP","61804_5_TOP",6.98,
"61804","5","BTM","61804_5_BTM",6.67,
"61804","6","TOP","61804_6_TOP",7,
"61804","6","BTM","61804_6_BTM",6.35,
"61804","7","TOP","61804_7_TOP",6.86,
"61804","7","BTM","61804_7_BTM",6.37,
"61805","1","TOP","61805_1_TOP",5.97,
"61805","1","BTM","61805_1_BTM",5.97,
"61805","2","TOP","61805_2_TOP",5.63,
"61805","2","BTM","61805_2_BTM",5.72,
"61805","3","TOP","61805_3_TOP",5.99,
"61805","3","BTM","61805_3_BTM",5.99,
"61805","4","TOP","61805_4_TOP",5.9,
"61805","4","BTM","61805_4_BTM",5.81,
"61805","5","TOP","61805_5_TOP",5.54,
"61805","5","BTM","61805_5_BTM",5.19,
"61805","6","TOP","61805_6_TOP",5.47,
"61805","6","BTM","61805_6_BTM",5.45,
"61805","7","TOP","61805_7_TOP",4.88,
"61805","7","BTM","61805_7_BTM",4.46,
"61805","8","TOP","61805_8_TOP",5.06,
"61805","8","BTM","61805_8_BTM",4.92,
"61805","9","TOP","61805_9_TOP",4.74,
"61805","9","BTM","61805_9_BTM",4.74,
"61806","1","TOP","61806_1_TOP",6.01,
"61806","1","BTM","61806_1_BTM",5.86,
"61806","2","TOP","61806_2_TOP",5.71,
"61806","2","BTM","61806_2_BTM",5.84,
"61806","3","TOP","61806_3_TOP",5.68,
"61806","3","BTM","61806_3_BTM",5.88,
"61806","4","TOP","61806_4_TOP",5.63,
"61806","4","BTM","61806_4_BTM",5.9,
"61806","5","TOP","61806_5_TOP",5.94,
"61806","5","BTM","61806_5_BTM",6.02,
"61806","6","TOP","61806_6_TOP",5.83,
"61806","6","BTM","61806_6_BTM",5.96,
"61806","7","TOP","61806_7_TOP",5.92,
"61806","7","BTM","61806_7_BTM",6.13,
"61806","8","TOP","61806_8_TOP",6.32,
"61806","8","BTM","61806_8_BTM",6.54,
