Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density
60846,12,TOP,60846_12_TOP,0.59,
60846,12,BTM,60846_12_BTM,1.05,
60846,17,TOP,60846_17_TOP,0.81,
60846,17,BTM,60846_17_BTM,1.45,
60846,2,TOP,60846_2_TOP,0.85,
60846,2,BTM,60846_2_BTM,1.39,
60846,5,TOP,60846_5_TOP,0.37,
60846,5,BTM,60846_5_BTM,0.71,
60846,7,TOP,60846_7_TOP,0.89,
60846,7,BTM,60846_7_BTM,1.18,
60880,1,TOP,60880_1_TOP,1.45,
60880,1,BTM,60880_1_BTM,1.53,
60880,2,TOP,60880_2_TOP,0.41,
60880,2,BTM,60880_2_BTM,,Data_not_available
60880,3,TOP,60880_3_TOP,0.15,
60880,3,BTM,60880_3_BTM,0.46,
60880,4,TOP,60880_4_TOP,1.16,
60880,4,BTM,60880_4_BTM,1.38,
60880,5,TOP,60880_5_TOP,0.6,
60880,5,BTM,60880_5_BTM,,Data_not_available
60880,6,TOP,60880_6_TOP,0.86,
60880,6,BTM,60880_6_BTM,1.26,
60881,1,TOP,60881_1_TOP,0.9,
60881,1,BTM,60881_1_BTM,1.37,
60881,2,TOP,60881_2_TOP,1.02,
60881,2,BTM,60881_2_BTM,1.35,
60881,3,TOP,60881_3_TOP,1.08,
60881,3,BTM,60881_3_BTM,1.37,
60881,4,TOP,60881_4_TOP,0.96,
60881,4,BTM,60881_4_BTM,1.33,
60881,5,TOP,60881_5_TOP,0.87,
60881,5,BTM,60881_5_BTM,1.22,
60881,6,TOP,60881_6_TOP,1.02,
60881,6,BTM,60881_6_BTM,1.41,
60886,1,TOP,60886_1_TOP,0.99,
60886,1,BTM,60886_1_BTM,1.44,
60886,2,TOP,60886_2_TOP,1.1,
60886,2,BTM,60886_2_BTM,0.95,
60886,3,TOP,60886_3_TOP,1.08,
60886,3,BTM,60886_3_BTM,1.2,
60886,4,TOP,60886_4_TOP,1.05,
60886,4,BTM,60886_4_BTM,1.27,
60886,5,TOP,60886_5_TOP,1.07,
60886,5,BTM,60886_5_BTM,1.25,
60886,6,TOP,60886_6_TOP,1.03,
60886,6,BTM,60886_6_BTM,1.3,
60920,1,TOP,60920_1_TOP,,Data_not_available
60920,1,BTM,60920_1_BTM,0.98,
60920,10,TOP,60920_10_TOP,0.28,
60920,10,BTM,60920_10_BTM,,Insufficient_material
60920,11,TOP,60920_11_TOP,,Data_not_available
60920,11,BTM,60920_11_BTM,,Insufficient_material
60920,12,TOP,60920_12_TOP,,Insufficient_material
60920,12,BTM,60920_12_BTM,,Insufficient_material
60920,2,TOP,60920_2_TOP,,Data_not_available
60920,2,BTM,60920_2_BTM,1.01,
60920,3,TOP,60920_3_TOP,,Data_not_available
60920,3,BTM,60920_3_BTM,0.44,
60920,4,TOP,60920_4_TOP,,Data_not_available
60920,4,BTM,60920_4_BTM,0.54,
60920,5,TOP,60920_5_TOP,,Data_not_available
60920,5,BTM,60920_5_BTM,0.21,
60920,6,TOP,60920_6_TOP,,Data_not_available
60920,6,BTM,60920_6_BTM,0.4,
60920,7,TOP,60920_7_TOP,0.85,
60920,7,BTM,60920_7_BTM,,Insufficient_material
60920,8,TOP,60920_8_TOP,0.85,
60920,8,BTM,60920_8_BTM,2.62,
60920,9,TOP,60920_9_TOP,1.12,
60920,9,BTM,60920_9_BTM,0.89,
60921,1,TOP,60921_1_TOP,0.78,
60921,1,BTM,60921_1_BTM,1.3,
60921,2,TOP,60921_2_TOP,0.72,
60921,2,BTM,60921_2_BTM,1.3,
60921,3,TOP,60921_3_TOP,0.65,
60921,3,BTM,60921_3_BTM,0.83,
60921,4,TOP,60921_4_TOP,0.75,
60921,4,BTM,60921_4_BTM,2,
60923,1,TOP,60923_1_TOP,0.79,
60923,1,BTM,60923_1_BTM,0.76,
60923,10,TOP,60923_10_TOP,1.16,
60923,10,BTM,60923_10_BTM,1.35,
60923,11,TOP,60923_11_TOP,1.17,
60923,11,BTM,60923_11_BTM,0.97,
60923,12,TOP,60923_12_TOP,1.12,
60923,12,BTM,60923_12_BTM,1.1,
60923,13,TOP,60923_13_TOP,1.18,
60923,13,BTM,60923_13_BTM,1.27,
60923,14,TOP,60923_14_TOP,0.99,
60923,14,BTM,60923_14_BTM,0.91,
60923,15,TOP,60923_15_TOP,1.05,
60923,15,BTM,60923_15_BTM,1.26,
60923,16,TOP,60923_16_TOP,1.02,
60923,16,BTM,60923_16_BTM,1.22,
60923,17,TOP,60923_17_TOP,1,
60923,17,BTM,60923_17_BTM,1.12,
60923,18,TOP,60923_18_TOP,1.15,
60923,18,BTM,60923_18_BTM,1.49,
